State House District,Winning Party,Incumbent Party,Democrat,Republican,Other
District 1,R,O,Ronald Wesson,Ed Goodwin,
District 2,R,R,Darryl Moss,Larry Yarborough (i),
District 3,R,R,Barbara Lee,Michael Speciale (i),T. Lee Horne III (Libertarian Party)
District 4,R,R,Da'Quan Love,James Dixon (i),Kevin E. Hayes (Constitution Party)
District 5,D,D,Howard Hunter III (i),Phillip Smith,
District 6,R,O,Tess Judge,Robert Hanig,
District 7,R,D,Bobbie Richardson (i),Lisa Barnes,
District 8,D,O,Kandie Smith,Brenda Smith,
District 9,R,R,Kris Rixon,Gregory Murphy (i),
District 10,R,R,Tracy Blackmon,John Bell (i),
District 11,D,O,Allison Dahle,Brennan Brooks,Travis Groo (Libertarian Party)
District 12,R,D,George Graham (i),Chris Humphrey,
District 13,R,R,,Patricia McElraft (i),Penelope diMaio (Unaffiliated)
District 14,R,R,Isaiah Johnson,George Cleveland (i),
District 15,R,R,Daniel Whitten,Phillip Shepard (i),
District 16,R,O,John Johnson,Carson Smith Jr.,
District 17,R,R,Tom Simmons,Frank Iler (i),
District 18,D,D,Deb Butler (i),Louis Harmati,Joseph Sharp (Libertarian Party)
District 19,R,R,Marcia Morgan,"Ted Davis, Jr. (i)",David Perry (Libertarian Party)
District 20,R,R,Leslie Cohen,Holly Grange (i),
District 21,D,O,Raymond Smith Jr.,Robert Freeman Sr.,
District 22,R,R,Martin Denning,William Brisson (i),
District 23,D,D,Shelly Willingham (i),Claiborne Holtzman,
District 24,D,D,Jean Farmer-Butterfield (i),,Ken Fontenot (Unaffiliated)
District 25,D,O,James Gailliard,John Check,Nicholas Taylor (Libertarian Party)
District 26,R,R,Linda Bennett,Donna McDowell White (i),
District 27,D,D,Michael Wray (i),Raymond Dyer,
District 28,R,R,Jimmie Massengill,Larry Strickland (i),Walter Rabon (Libertarian Party)
District 29,D,D,MaryAnn Black (i),Charles Becker,
District 30,D,D,Marcia Morey (i),Barry Burch Sr.,Matthew Wagoner (Libertarian Party)
District 31,D,O,Zack Forde-Hawkins,Torian Webson,Erik Raudsep (Libertarian Party)
District 32,D,D,Terry Garrison (i),Robert Shingler,
District 33,D,D,Rosa Gill (i),Anne Murtha,
District 34,D,D,Grier Martin (i),Catherine Whiteford,Cap Hayes (Libertarian Party)
District 35,D,R,Terence Everitt,Chris Malone (i),Michael Nelson (Libertarian Party)
District 36,D,R,Julie Von Haefen,Nelson Dollar (i),Robyn Pegram (Libertarian Party)
District 37,D,R,Sydney Batch,John Adcock (i),Guy Meilleur (Libertarian Party)
District 38,D,D,Yvonne Lewis Holley (i),Kenneth Bagnal,Bobby Emory (Libertarian Party)
District 39,D,D,Darren Jackson (i),Rhonda Allen,Martin Matuszewski (Libertarian Party)
District 40,D,D,Joe John (i),Marilyn Avila,David Ulmer (Libertarian Party)
District 41,D,D,Gale Adcock (i),Emmanuel Wilder,
District 42,D,D,"Marvin Lucas, Jr. (i)",Ed Williams,Mark Crowe (Constitution Party)
District 43,D,D,Elmer Floyd (i),John Czajkowski,
District 44,D,D,William Richardson (i),Linda Devore,
District 45,R,R,Albeiro Florez,John Szoka (i),
District 46,R,R,Barbara Lockamy,Brenden Jones (i),
District 47,D,D,Charles Graham (i),Jarrod Lowery,
District 48,D,D,Garland Pierce (i),Russell Walker,
District 49,D,D,Cynthia Ball (i),David Robertson,Jonathan Horst (Libertarian Party)
District 50,D,D,Graig R. Meyer (i),Kenneth Rothrock,
District 51,R,R,Lisa Mathis,John Sauls (i),
District 52,R,R,Lowell Simon,Jamie Boles (i),
District 53,R,R,Richard Chapman,"David Lewis, Sr. (i)",
District 54,D,D,Robert Reives (i),Jay Stobbs,
District 55,R,R,Franklin Deese,Mark Brody (i),
District 56,D,D,Verla Insko (i),Marcus Cooke,Matthew Clements (Libertarian Party)
District 57,D,O,Ashton Clemmons,Troy Lawson,
