State Senate District,Winning Party,Incumbent Party,Democrat,Republican,Other
District 1,,O,D. Cole Phelps,Bob Steinburg,
District 2,,R,Ginger Garner,Norman Sanderson (i),Tim Harris (Libertarian Party)
District 3,,D,Erica Smith (i),Chuck Earley Jr.,
District 4,,D,Milton F. Fitch Jr. (i),Richard Scott,Jesse Shearin (Libertarian Party)
District 5,,D,Donald Davis (i),Kimberly Robb,
District 6,,R,Joseph Webb,Harry Brown (i),
District 7,,R,David B. Brantley,Louis Pate (i),
District 8,,R,David Sink Jr.,Dr. William Rabon (i),Anthony Mascolo (Libertarian Party)
District 9,,R,Harper Peterson,Michael Lee (i),Ethan Bickley (Libertarian Party)
District 10,,R,Vernon Moore,Brent Jackson (i),
District 11,,R,Albert Pacer,Rick Horner (i),
District 12,,O,Jean Sivoli,Jim Burgin,
District 13,,R,John Campbell,Danny Earl Britt (i),
District 14,,D,Dan Blue (i),Sandy Andrews,Richard Haygood (Libertarian Party)
District 15,,D,Jay Chaudhuri (i),Alan David Michael,Brian Lewis (Libertarian Party)
District 16,,O,Wiley Nickel,Paul Smith,Brian Irving (Libertarian Party)
District 17,,R,Sam Searcy,Tamara Barringer (i),Bruce Basson (Libertarian Party)
District 18,,R,Mack Paul,John Alexander (i),Brad Hessel (Libertarian Party)
District 19,,R,Kirk DeViere,Wesley Meredith (i),
District 20,,D,Floyd McKissick (i),Thomas Stark,Jared Erickson (Libertarian Party)
District 21,,D,Ben Clark (i),Timothy Leever,
District 22,,D,Mike Woodard (i),Rickey Padgett,Ray Ubinger (Libertarian Party)
District 23,,D,Valerie Foushee (i),Tom Glendinning,
District 24,,R,J.D. Wooten,Rick Gunn (i),
District 25,,R,Helen Probst Mills,Tom McInnis (i),
District 26,,R,William McCaskill,Jerry W. Tillman (i),
District 27,,R,Michael Garrett,Trudy Wade (i),
District 28,,D,Gladys Robinson (i),Clark Porter,
District 29,,O,Cheraton Love,Eddie Gallimore,
District 30,,R,Jen Mangrum,Phil Berger (i),R. Michael Jordan (Libertarian Party)
District 31,,R,John Motsinger Jr.,Joyce Krawiec (i),
District 32,,D,Rev. Paul Lowe (i),Eric Henderson,
District 33,,O,Arin Wilhelm,Carl Ford,
District 34,,O,Beniah McMiller,Vickie Sawyer,
District 35,,O,Caroline Walker,Todd Johnson,
District 36,,R,Mark Shelley,Paul Newton (i),
District 37,,D,Jeff Jackson (i),Nora Trotman,Stuart Andrew Collins (Constitution Party)
District 38,,O,Mujtaba Mohammed,Richard Rivette,
District 39,,R,Chad Stachowicz,Dan Bishop (i),
District 40,,D,Joyce Waddell (i),Bobbie Shields,
District 41,,R,Natasha Marcus,Jeff Tarte (i),
District 42,,R,Ric Vandett,Andy Wells (i),
District 43,,R,Altriese Price,Kathy Harrington (i),Mitchell Bridges (Libertarian Party)
District 44,,O,David Lee Lattimore,Ted Alexander,
District 45,,R,Wes Luther,Deanna Ballard (i),
District 46,,R,Art Sherwood,Warren Daniel (i),
District 47,,R,David Wheeler,Ralph Hise (i),
District 48,,R,Norm Bossert,Chuck Edwards (i),
District 49,,D,Terry Van Duyn (i),Mark Crawford,Lyndon John Smith (Libertarian Party)
District 50,,R,Bobby Kuppers,Jim Davis (i),
