US House District,Winning Party,Incumbent Party,Democrat,Republican,Other
District 1,D,D,G.K. Butterfield,Roger Allison,
District 2,R,R,Linda Coleman,George E.B. Holding (i),
District 3,R,R,,Walter B. Jones (i),
District 4,D,D,David Price (i),Steve Von Loor,
District 5,R,R,Denise Adams,Virginia Foxx (i),
District 6,R,R,Ryan Watts,Mark Walker (i),
District 7,R,R,Kyle Horton,David Rouzer (i),
District 8,R,R,Frank McNeill,Richard Hudson (i),
District 9,,O,Dan McCready,Mark Harris,
District 10,R,R,David Wilson Brown,Patrick T. McHenry (i),
District 11,R,R,Phillip Price,Mark Meadows (i),
District 12,D,D,Alma Adams (i),Paul Wright,
District 13,R,R,Kathy Manning,Ted Budd (i),
